due_date,problem,file,first_solved,last_implemented,attempts,last_mindsolve,last_result,consecutive_passes,interval_days,overdue_days,failure_stage
2026-05-03,Walls And Gates,walls-and-gates.cpp,2026-05-01,2026-05-01,1,,,0,2,114,
2026-05-12,Alien Dictionary,alien-dictionary.cpp,2026-05-10,2026-05-10,1,,,0,2,105,
2026-05-15,BFS Shortest Reach,bfs-shortest-reach.cpp,2026-05-13,2026-05-13,1,,,0,2,102,
2026-05-15,Even Tree,even-tree.cpp,2026-05-13,2026-05-13,1,,,0,2,102,
2026-05-15,House Robber III,house-robber-iii.cpp,2026-05-13,2026-05-13,1,,,0,2,102,
2026-05-15,Is Bipartite,is-bipartite.cpp,2026-05-13,2026-05-13,1,,,0,2,102,
2026-05-15,Journey To The Moon,journey-to-the-moon.cpp,2026-05-13,2026-05-13,1,,,0,2,102,
2026-05-15,Longest Increasing Path In Matrix,longest-increasing-path-in-matrix.cpp,2026-05-13,2026-05-13,1,,,0,2,102,
2026-05-15,Maximum Splitted Binary Tree,maximum-splitted-binary-tree.cpp,2026-05-13,2026-05-13,1,,,0,2,102,
2026-05-15,Maximum Splitted Binary Tree Unoptimized,maximum-splitted-binary-tree-unoptimized.cpp,2026-05-13,2026-05-13,1,,,0,2,102,
2026-05-18,Decode Ways,decode-ways.cpp,2026-05-16,2026-05-16,1,,,0,2,99,
2026-05-19,Missing Number,missing-number.cpp,2026-05-17,2026-05-17,1,,,0,2,98,
2026-05-19,Swim In Rising Water,swim-in-rising-water.cpp,2026-05-17,2026-05-17,1,,,0,2,98,
2026-06-17,Min Cost Climbing Stairs,min-cost-climbing-stairs.cpp,2026-06-15,2026-06-15,1,,,0,2,69,
2026-06-18,Redundant Connection,redundant-connection.cpp,2026-06-16,2026-06-16,2,,,0,2,68,
2026-06-18,Same Tree,same-tree.cpp,2026-06-16,2026-06-16,1,,,0,2,68,
2026-06-20,3Sum,3sum.cpp,2026-06-18,2026-06-18,1,,,0,2,66,
2026-06-20,Best Time To Buy And Sell Stock,best-time-to-buy-and-sell-stock.cpp,2025-12-23,2026-06-18,2,,,0,2,66,
2026-06-20,Two Sum II,two-sum-ii.cpp,2026-06-18,2026-06-18,1,,,0,2,66,
2026-06-21,Number Of Connected Components In Undirected Graph,number-of-connected-components-in-undirected-graph.cpp,2026-06-19,2026-06-19,1,,,0,2,65,
2026-06-21,Valid Palindrome,valid-palindrome.cpp,2026-06-19,2026-06-19,1,,,0,2,65,
2026-06-22,Graph Valid Tree,graph-valid-tree.cpp,2026-06-20,2026-06-20,1,,,0,2,64,
2026-06-22,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters.cpp,2026-06-20,2026-06-20,1,,,0,2,64,
2026-06-24,Longest Repeating Character Replacement,longest-repeating-character-replacement.cpp,2026-06-22,2026-06-22,1,,,0,2,62,
2026-06-24,Search A 2d Matrix,search-a-2d-matrix.cpp,2026-06-22,2026-06-22,1,,,0,2,62,
2026-06-25,Daily Temperatures,daily-temperatures.cpp,2026-06-23,2026-06-23,1,,,0,2,61,
2026-06-27,Accounts Merge,accounts-merge.cpp,2026-06-25,2026-06-25,1,,,0,2,59,
2026-06-30,Contains Duplicate,contains-duplicate.cpp,2026-06-28,2026-06-28,1,,,0,2,56,
2026-06-30,Koko Eating Bananas,koko-eating-bananas.cpp,2026-06-28,2026-06-28,1,,,0,2,56,
2026-06-30,Valid Anagram,valid-anagram.cpp,2026-06-28,2026-06-28,1,,,0,2,56,
2026-07-01,Top K Frequent Elements,top-k-frequent-elements.cpp,2026-06-29,2026-06-29,1,,,0,2,55,
2026-07-02,Product Of Array Except Self,product-of-array-except-self.cpp,2026-06-30,2026-06-30,1,,,0,2,54,
2026-07-03,Valid Sudoku,valid-sudoku.cpp,2026-06-30,2026-07-01,2,,,0,2,53,
2026-07-04,Min Stack,min-stack.cpp,2026-06-22,2026-07-02,2,,,0,2,52,
2026-07-04,Reorder List,reorder-list.cpp,2026-07-02,2026-07-02,1,,,0,2,52,
2026-07-05,Sliding Window Maximum,sliding-window-maximum.cpp,2026-07-03,2026-07-03,1,,,0,2,51,
2026-07-07,Balanced Binary Tree,balanced-binary-tree.cpp,2026-05-13,2026-07-05,2,,,0,2,49,
2026-07-07,Car Fleet,car-fleet.cpp,2026-07-05,2026-07-05,1,,,0,2,49,
2026-07-07,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation.cpp,2026-07-05,2026-07-05,1,,,0,2,49,
2026-07-07,Invert Binary Tree,invert-binary-tree.cpp,2025-12-29,2026-07-05,2,,,0,2,49,
2026-07-07,Maximum Depth Of Binary Tree,maximum-depth-of-binary-tree.cpp,2025-12-30,2026-07-05,3,,,0,2,49,
2026-07-07,Single Number,single-number.cpp,2026-05-17,2026-07-05,2,,,0,2,49,
2026-07-09,Kth Largest Element In A Stream,kth-largest-element-in-a-stream.cpp,2026-07-07,2026-07-07,1,,,0,2,47,
2026-07-10,Subtree Of Another Subtree,subtree-of-another-subtree.cpp,2026-07-08,2026-07-08,1,,,0,2,46,
2026-07-11,Find Minimum In Sorted Array,find-minimum-in-sorted-array.cpp,2026-07-08,2026-07-09,2,,,0,2,45,
2026-07-16,Time Based Key Value Store,time-based-key-value-store.cpp,2026-07-14,2026-07-14,1,,,0,2,40,
2026-07-18,Median Of Two Sorted Arrays,median-of-two-sorted-arrays.cpp,2026-07-16,2026-07-16,1,,,0,2,38,
2026-07-18,Palindrome Number,palindrome-number.cpp,2026-07-16,2026-07-16,1,,,0,2,38,
2026-07-18,Remove Nth Node From End Of List,remove-nth-node-from-end-of-list.cpp,2026-07-16,2026-07-16,1,,,0,2,38,
2026-07-20,Minimum Window Substring,minimum-window-substring.cpp,2026-07-18,2026-07-18,1,,,0,2,36,
2026-07-21,Maximum Sum Of Distinct Subarrays With Length K,maximum-sum-of-distinct-subarrays-with-length-k.cpp,2026-07-19,2026-07-19,1,,,0,2,35,
2026-07-21,Permutation In String,permutation-in-string.cpp,2026-07-19,2026-07-19,1,,,0,2,35,
2026-07-21,Subarray Sum Equals K,subarray-sum-equals-k.cpp,2026-07-19,2026-07-19,1,,,0,2,35,
2026-07-21,Substrings Of Size Three With Distinct Characters,substrings-of-size-three-with-distinct-characters.cpp,2026-07-19,2026-07-19,1,,,0,2,35,
2026-07-24,Binary Tree Level Order Traversal,binary-tree-level-order-traversal.cpp,2026-07-22,2026-07-22,1,,,0,2,32,
2026-07-24,Binary Tree Right Side View,binary-tree-right-side-view.cpp,2026-07-22,2026-07-22,1,,,0,2,32,
2026-07-25,Lowest Common Anscestor Of A Binary Tree,lowest-common-anscestor-of-a-binary-tree.cpp,2026-07-23,2026-07-23,2,,,0,2,31,
2026-07-28,Subsets,subsets.cpp,2026-07-26,2026-07-26,1,,,0,2,28,
2026-07-30,Count Good Nodes In Binary Tree,count-good-nodes-in-binary-tree.cpp,2026-07-28,2026-07-28,1,,,0,2,26,
2026-08-01,Combination Sum,combination-sum.cpp,2026-07-30,2026-07-30,2,,,0,2,24,
2026-08-01,Subsets II,subsets-ii.cpp,2026-07-26,2026-07-30,2,,,0,2,24,
2026-08-04,Copy List With Random Pointer,copy-list-with-random-pointer.cpp,2026-08-02,2026-08-02,1,,,0,2,21,
2026-08-05,Generate Parentheses,generate-parentheses.cpp,2026-08-03,2026-08-03,1,,,0,2,20,
2026-08-05,Word Search,word-search.cpp,2026-08-03,2026-08-03,1,,,0,2,20,
2026-08-06,Permutations,permutations.cpp,2026-07-30,2026-08-04,3,,,0,2,19,
2026-08-08,Palindrome Partitioning,palindrome-partitioning.cpp,2026-08-06,2026-08-06,1,,,0,2,17,
2026-08-09,Climbing Stairs,climbing-stairs.cpp,2025-12-24,2026-08-07,4,,,0,2,16,
2026-08-09,Combination Sum II,combination-sum-ii.cpp,2026-08-07,2026-08-07,1,,,0,2,16,
2026-08-09,House Robber,house-robber.cpp,2026-05-13,2026-08-07,4,,,0,2,16,
2026-08-09,House Robber II,house-robber-ii.cpp,2026-08-04,2026-08-07,2,,,0,2,16,
2026-08-09,Jump Game,jump-game.cpp,2026-08-07,2026-08-07,1,,,0,2,16,
2026-08-09,Jump Game III,jump-game-iii.cpp,2026-05-17,2026-08-07,2,,,0,2,16,
2026-08-09,Maximum Subarray,maximum-subarray.cpp,2026-08-05,2026-08-07,2,,,0,2,16,
2026-08-10,Longest Consecutive Sequence,longest-consecutive-sequence.cpp,2026-06-17,2026-08-08,2,,,0,2,15,
2026-08-11,Meeting Rooms,meeting-rooms.cpp,2026-08-09,2026-08-09,1,,,0,2,14,
2026-08-11,Merge Intervals,merge-intervals.cpp,2026-08-09,2026-08-09,1,,,0,2,14,
2026-08-14,Search In Rotated Sorted Array,search-in-rotated-sorted-array.cpp,2026-08-12,2026-08-12,1,,,0,2,11,
2026-08-15,Group Anagrams,group-anagrams.cpp,2026-06-18,2026-08-13,2,,,0,2,10,
2026-08-16,Container With Most Water,container-with-most-water.cpp,2026-06-19,2026-08-14,3,,,0,2,9,
2026-08-18,Print In Order,print-in-order.cpp,2026-08-16,2026-08-16,1,,,0,2,7,
2026-08-19,Clone Graph,clone-graph.cpp,2026-08-17,2026-08-17,1,,,0,2,6,
2026-08-19,Number Of Islands,number-of-islands.cpp,2026-05-01,2026-08-17,2,,,0,2,6,
2026-08-20,Trapping Rain Water,trapping-rain-water.cpp,2026-06-26,2026-08-18,2,,,0,2,5,
2026-08-24,Last Stone.weight,last-stone.weight.cpp,2026-08-22,2026-08-22,1,,,0,2,1,
2026-08-26,Coin Change II,coin-change-ii.cpp,2026-08-24,2026-08-24,1,,,0,2,0,
2026-08-26,Unique Paths,unique-paths.cpp,2026-08-24,2026-08-24,1,,,0,2,0,
